pH1;pH2;pH3;pH4;pH5;pH6;
1.51;2.21;2.42;2.93;3.10;3.52;
1.66;2.29;2.38;3.0;3.19;3.55;
1.56;2.24;2.42;2.89;3.06;3.42;
1.76;2.49;2.71;3.15;3.78;4.77;
1.23;2.08;2.38;2.92;3.25;3.78;
1.06;2.06;2.32;3.09;3.37;3.79;
1.34;2.31;2.38;2.76;2.98;3.39;
1.92;2.40;2.73;3.13;3.38;3.80;
1.12;1.9;2.25;2.89;3.3;4.07;
1.33;2.25;2.54;3.21;3.48;4.02;
1.3;2.12;2.39;2.67;3.02;3.45;
1.3;2.29;2.51;3.06;3.38;4.24;
1.31;2.15;2.30;3.01;3.24;3.99;
2.02;2.46;2.66;3.27;3.60;4.25;
1.27;2.09;2.39;3.0;3.7;4.1;
1.22;2.19;2.4;3.03;3.51;3.81;
1.73;2.4;2.59;2.9;3.11;3.39;
0.97;1.77;2.04;2.73;3.1;3.67;
1.01;1.91;2.22;2.87;3.25;4.09;
1.74;2.36;2.58;3.13;3.37;3.81;
1.64;2.4;2.53;3.08;3.27;4.21;
1.2;2.18;2.45;2.93;3.24;3.95;
1.79;2.33;2.77;3.31;3.61;4.34;
1.7;2.23;2.71;2.99;3.27;3.7;
1.7;2.2;2.47;2.97;3.25;4.02;
1.64;2.47;2.73;3.37;3.63;4.17;
1.52;2.16;2.39;2.86;3.28;3.76;
1.6;2.15;2.44;2.85;3.21;3.95;
1.12;1.82;2.15;2.82;3.13;3.77;
1.44;2.26;2.34;2.88;3.1;3.53;
1.63;2.02;2.31;2.86;2.36;3.62;
1.72;2.4;2.66;3.23;3.62;4.29;
1.75;2.46;2.69;3.11;3.63;4.38;
1.32;2.17;2.49;3.13;3.26;4.2;
1.14;2.01;2.24;3.08;3.2;4.11;
1.3;2.17;2.46;3.13;3.2;4.1;
1.48;2.21;2.51;2.8;3.29;3.74;
1.01;2.12;2.4;3.05;3.51;4.3;
1.1;1.96;2.25;2.6;3.5;4.11;
1.33;2.25;2.46;3.13;3.4;4.24;
1.33;2.16;2.47;3.17;3.3;4.21;
